price,bedrooms,size,location,property_type,date_sold
14000000,2,90,Westlands,Apartment,15/09/2021
21000000,3,174,Riverside,Apartment,02/09/2022
13680000,2,114,Riverside,Apartment,14/12/2022
15610000,2,129,Riverside,Apartment,01/11/2024
16700000,2,142,Westlands,Apartment,25/06/2025
16700000,2,142,Westlands,Apartment,03/06/2023
24600000,3,155,Westlands,Apartment,22/01/2024
31000000,4,213,Westlands,Apartment,02/01/2025
9200000,1,70,Westlands,Apartment,07/07/2021
9000000,1,67,Westlands,Apartment,04/12/2022
13200000,2,113,Westlands,Apartment,06/05/2021
8700000,1,58,Westlands,Apartment,06/04/2022
10000000,2,84,Riverside,Apartment,31/07/2022
7200000,1,60,Riverside,Apartment,26/01/2023
10780000,2,98,Kilimani,Apartment,02/04/2025
6100000,1,52,Westlands,Apartment,10/05/2024
9000000,1,76,Westlands,Apartment,10/10/2023
10300000,1,88,Westlands,Apartment,16/12/2023
8100000,1,67,Westlands,Apartment,10/07/2022
15620000,3,142,Kilimani,Apartment,07/06/2024
11500000,2,103,Westlands,Apartment,07/06/2023
9680000,2,87,Riverside,Apartment,09/08/2023
14000000,2,146,Westlands,Apartment,08/07/2024
14000000,2,145,Westlands,Apartment,08/06/2022
9000000,1,76,Westlands,Apartment,22/10/2024
13000000,2,114,Westlands,Apartment,27/01/2022
10000000,2,88,Kilimani,Apartment,19/02/2021
10900000,2,90,Kilimani,Apartment,03/10/2022
11300000,2,90,Kilimani,Apartment,19/03/2021
14450000,2,130,Westlands,Apartment,01/11/2023
31000000,4,213,Westlands,Apartment,23/04/2025
24600000,3,155,Westlands,Apartment,12/08/2022
8790000,1,64,Westlands,Apartment,18/08/2024
8790000,1,64,Westlands,Apartment,11/09/2022
16450000,2,145,Westlands,Apartment,04/12/2025
15150000,2,135,Westlands,Apartment,10/08/2022
14450000,2,130,Westlands,Apartment,06/11/2021
8000000,1,58,Westlands,Apartment,05/11/2023
8700000,1,58,Westlands,Apartment,23/04/2024
19000000,3,140,Westlands,Apartment,29/07/2025
12850000,2,104,Westlands,Apartment,08/08/2025
14000000,2,90,Westlands,Apartment,05/11/2021
8700000,1,58,Westlands,Apartment,13/11/2025
9000000,2,110,Kileleshwa,Apartment,29/10/2023
16700000,2,142,Westlands,Apartment,20/07/2021
7000000,1,68,Westlands,Apartment,29/05/2025
12500000,3,136,Kileleshwa,Apartment,21/01/2021
6900000,1,60,Kilimani,Apartment,29/11/2025
12000000,2,115,Westlands,Apartment,19/12/2023
11500000,2,112,Kilimani,Apartment,27/11/2023
6820000,1,62,Kilimani,Apartment,26/12/2021
14000000,2,94,Westlands,Apartment,02/05/2021
31000000,4,199,Westlands,Apartment,12/07/2024
22550000,3,198,Westlands,Apartment,31/08/2025
16700000,2,142,Westlands,Apartment,26/10/2024
13200000,2,113,Westlands,Apartment,26/03/2024
13500000,3,125,Kilimani,Apartment,15/11/2022
8100000,1,55,Westlands,Apartment,17/07/2024
9500000,2,92,Kilimani,Apartment,23/02/2024
12230000,2,113,Westlands,Apartment,13/10/2021
30000000,4,234,Kiambu Road,House,07/11/2025
30000000,4,234,Kiambu Road,House,28/12/2022
10400000,2,111,Kileleshwa,Apartment,23/01/2022
11200000,2,119,Kileleshwa,Apartment,10/11/2022
12500000,2,128,Kileleshwa,Apartment,15/09/2022
12700000,2,135,Kileleshwa,Apartment,20/12/2023
12800000,2,136,Kileleshwa,Apartment,21/04/2024
8790000,1,64,Westlands,Apartment,12/09/2024
6500000,1,65,Westlands,Apartment,17/01/2025
6500000,11,65,Westlands,Apartment,05/02/2023
7500000,2,72,Westlands,Apartment,21/11/2025
6500000,1,65,Westlands,Apartment,16/04/2021
7500000,2,72,Westlands,Apartment,12/01/2023
13800000,2,72,Westlands,Apartment,27/11/2022
13800000,2,109,Westlands,Apartment,04/03/2025
7500000,1,72,Westlands,Apartment,21/10/2021
7500000,1,72,Westlands,Apartment,15/03/2022
7500000,1,72,Westlands,Apartment,28/08/2023
12200000,2.5,110,Kilimani,Apartment,26/04/2021
6200000,1,58,Kilimani,Apartment,30/01/2022
6600000,1,62,Kilimani,Apartment,05/10/2025
6440000,1,52,Westlands,Apartment,14/10/2021
14000000,2,90,Westlands,Apartment,25/07/2022
8000000,1,58,Westlands,Apartment,13/08/2022
8700000,1,58,Westlands,Apartment,26/01/2021
7630000,1,65,Westlands,Apartment,03/08/2024
6500000,1,68,Kilimani,Apartment,23/07/2021
8730000,1,82,Westlands,Apartment,12/07/2025
10800000,2,100,Kilimani,Apartment,28/02/2025
8200000,1,75,Kilimani,Apartment,01/03/2022
21000000,3,174,Riverside,Apartment,02/11/2024
13600000,2,114,Riverside,Apartment,26/10/2024
10500000,2,102,Kilimani,Apartment,04/01/2023
15600000,2,129,Riverside,Apartment,29/09/2025
12000000,2,119,Kileleshwa,Apartment,27/03/2025
31000000,4,199,Westlands,Apartment,15/08/2024
14000000,2,94,Westlands,Apartment,29/01/2025
24600000,3,155,Westlands,Apartment,24/09/2021
31000000,4,213,Westlands,Apartment,16/09/2023
8730000,1,82,Westlands,Apartment,15/09/2022
150000000,5,315,Runda,House,14/04/2025
8790000,1,64,Westlands,Apartment,25/05/2022
7150000,2,80,Kileleshwa,Apartment,13/08/2025
7150000,2,80,Kileleshwa,Apartment,08/03/2021
7150000,2,80,Kileleshwa,Apartment,16/03/2021
5110000,1,60,Kileleshwa,Apartment,06/05/2022
5110000,1,60,Kileleshwa,Apartment,28/12/2024
5110000,1,60,Kileleshwa,Apartment,31/03/2022
18800000,3,172,Westlands,Apartment,19/10/2023
18800000,3,172,Westlands,Apartment,10/04/2025
18800000,3,172,Westlands,Apartment,28/07/2025
8700000,1,58,Westlands,Apartment,22/09/2024
13800000,2,126,Westlands,Apartment,06/08/2025
13800000,2,126,Westlands,Apartment,23/10/2025
13800000,2,126,Westlands,Apartment,11/08/2022
12850000,2,104,Westlands,Apartment,15/10/2021
14000000,2,98,Westlands,Apartment,10/03/2024
8700000,1,58,Westlands,Apartment,03/12/2024
14000000,2,90,Westlands,Apartment,27/07/2021
19000000,3,140,Westlands,Apartment,19/02/2023
12850000,2,104,Westlands,Apartment,24/08/2023
8700000,1,58,Westlands,Apartment,16/05/2024
14000000,2,90,Westlands,Apartment,18/08/2021
